,Skills,Pbb
1913,Printing,0
1914,Prism,0
1915,Pro Tools,0
1916,Pro*C,0
1917,Pro/Mechanica,0
1918,Problem analysis,0
1919,Problem management,0
1920,Problem solving,1
1921,Procedure,1
1922,Process analysis,0
1923,Process automation,0
1924,Process consulting,0
1925,Process control,0
1926,Process engineering,0
1927,Process flow,0
1928,Process improvement,0
1929,Process integration,0
1930,Process management,0
1931,Process manufacturing,0
1932,Process modeling,0
1933,Process Monitor,0
1934,Process optimization,0
1935,Process outsourcing,0
1936,Process reengineering,0
1937,Process simulation,0
1938,Procurement,0
1939,Procurement management,0
1940,Product costing,0
1941,Product design,0
1942,Product development,0
1943,Product engineering,0
1944,Product intelligence,0
1945,Product lifecycle management,0
1946,Product management,0
1947,Product marketing,0
1948,Product optimization,0
1949,Product owner,1
1950,Product planning,0
1951,Product requirements,0
1952,Product research,0
1953,Product scoping,0
1954,Product strategy,0
1955,Product Studio,0
1956,Product support,0
1957,Production,0
1958,Production artist,0
1959,Production control,0
1960,Production engineering,0
1961,Productivity,0
1962,Productivity improvement,0
1963,ProE,0
1964,Professional services,0
1965,Professional writing,0
1966,Program development,0
1967,Program management,0
1968,Program management office,0
1969,Programmable logic controller,0
1970,Programming,1
1971,Project accounting,0
1972,Project budget,0
1973,Project coordination,0
1974,Project costing,0
1975,Project delivery,0
1976,Project development,0
1977,Project documentation,0
1978,Project engineering,0
1979,Project estimation,0
1980,Project finance,0
1981,Project implementation,0
1982,Project management,0
1983,Project planning,0
1984,Project portfolio management,0
1985,Project scheduling,0
1986,Project scoping,0
1987,Promotions,0
1988,Proofreading,0
1989,Prospecting,0
1990,Protocol analysis,0
1991,Prototyping,0
1992,ProVision,0
1993,Provisioning,0
1994,PS,0
1995,PSM,0
1996,pSOS,0
1997,PSP,0
1998,PSpice,0
1999,PSQL,0
2000,PSTN,0
2001,PTC,0
2002,PTS,0
2003,Public sector,0
2004,Public speaking,0
2005,Publications,0
2006,Publisher,1
2007,Publishing,0
2008,Puppet,0
2009,Purchase orders,0
2010,Purchasing,0
2011,PuTTY,0
2012,PVCS,0
2013,PXE,0
2014,Python,0
2015,QA,0
2016,QA management,0
2017,QAS,0
2018,qc,0
2019,QEMU,0
2020,Qlikview,0
2021,QML,0
2022,QMS,0
2023,QNX,0
2024,QoS,0
2025,QT,0
2026,qtp,0
2027,Quality audit,0
2028,Quality control,0
2029,Quality improvement,0
2030,Quality inspection,0
2031,Quality management,0
2032,Quantitative analyst,0
2033,Quartz,0
2034,Query optimization,0
2035,Quest,0
2036,QuickBooks,0
2037,Quicken,0
2038,QUIKJOB,0
2039,R,0
2040,RabbitMQ,0
2041,RAC,0
2042,Rackspace,0
2043,RAD,0
2044,Radar,0
2045,Radio,0
2046,RADIUS,0
2047,RAID,0
2048,Rally,0
2049,RAN,0
2050,RANAP,0
2051,Ranorex,0
2052,Rapid prototyping,0
2053,RAS,0
2054,RCA,0
2055,RDB,0
2056,RDBMS,0
2057,RDMS,0
2058,REACH,0
2059,Real-time,1
2060,Reasoning,1
2061,Receiving,1
2062,Reconciliation,0
2063,Recovery,0
2064,Recruitment,0
2065,Recruitment management,0
2066,Red Hat Enterprise Linux,0
2067,Red Hat Linux,0
2068,Redis,0
2069,Redmine,0
2070,Reengineering,0
2071,Regression testing,0
2072,Regulatory reporting,0
2073,Relationship building,0
2074,Release engineering,0
2075,Release management,0
2076,Release notes,0
2077,Reliability analysis,0
2078,Reliability engineering,0
2079,Remote access,0
2080,Remote support,0
2081,Repair,0
2082,Replication,0
2083,Report Studio,0
2084,Report writing,0
2085,Reporting,1
2086,Requirements analysis,0
2087,Requirements elicitation,0
2088,Requirements engineering,0
2089,Requirements management,0
2090,Requirements traceability,0
2091,Research,1
2092,Research design,0
2093,Research management,0
2094,Resource allocation,0
2095,Resource planning,0
2096,Responsive design,0
2097,RESTful,0
2098,Restructuring,0
2099,Retail,0
2100,Revenue growth,0
2101,Revenue management,0
2102,Reverse engineering,0
2103,Revision control,0
2104,Rexx,0
2105,RF,0
2106,RF optimization,0
2107,RFC,0
2108,RFI,0
2109,RFT,0
2110,Rhapsody,0
2111,Rhino,0
2112,Riak,0
2113,RICE,0
2114,RichFaces,0
2115,RightNow,0
2116,RIP,0
2117,Risk analysis,0
2118,Risk assessment,0
2119,Risk management,0
2120,RMF,0
2121,RMI,0
2122,RNC,0
2123,ROADM,0
2124,Roadmaps,0
2125,ROBOT,0
2126,Robotics,0
2127,Robotium,0
2128,RoHS,0
2129,ROOT,0
2130,Root cause analysis,0
2131,Routers,0
2132,Routing,0
2133,Routing protocols,0
2134,RPC,0
2135,RPM,0
2136,RRC,0
2137,RS-232,0
2138,RSA,0
2139,RSTP,0
2140,rsync,0
2141,RT,0
2142,RTC,0
2143,RTL,0
2144,RTM,0
2145,RTOS,0
2146,RTP,0
2147,RTSP,0
2148,RTU,0
2149,Ruby,0
2150,Russian,1
2151,RV,0
2152,RWD,0
2153,S-PLUS,0
2154,S/MIME,0
2155,S1000D,0
2156,SaaS,0
2157,SABA,0
2158,SAFE,0
2159,Sales,0
2160,Sales management,0
2161,Sales operations,0
2162,Sales strategy,0
2163,Salesforce.com administration,0
2164,SAML,0
2165,SAN,0
2166,Sanity testing,0
2167,SANS,0
2168,SAP,0
2169,SAP ABAP,0
2170,SAP administration,0
2171,SAP.APO,0
2172,SAP BASIS,0
2173,SAP BASIS administration,0
2174,SAP BI,0
2175,SAP CRM,0
2176,SAP DBA,0
2177,SAP DP,0
2178,SAP ECC,0
2179,SAP FI,0
2180,SAP GUI,0
2181,SAP HANA,0
2182,SAP LE,0
2183,SAP MII,0
2184,SAP NetWeaver,0
2185,SAP PA,0
2186,SAP PI,0
2187,SAP PP,0
2188,SAP R/3,0
2189,SAP SD,0
2190,SAP Security,0
2191,SAP Solution Manager,0
2192,SAR,0
2193,SAS,0
2194,SAS 70,0
2195,SAS/Access,0
2196,Sass,0
2197,SATCOM,0
2198,Satellite,0
2199,SAX,0
2200,SBC,0
2201,SCA,0
2202,SCADA,0
2203,Scade,0
2204,Scala,0
2205,Scalability,0
2206,SCCP,0
2207,Scheduling,0
2208,Schematic,0
2209,Schematic capture,0
2210,Schematics,0
2211,Scheme,0
2212,Science,1
2213,SCJP,0
2214,SCL,0
2215,SCM,0
2216,SCO,0
2217,Scope management,0
2218,SCORM,0
2219,SCOT,0
2220,SCP,0
2221,SCR,0
2222,Scripting,0
2223,Scripting language,0
2224,Scrum,0
2225,Scrum master,0
2226,SCSI,0
2227,SCTP,0
2228,SD,0
2229,SDET,0
2230,SDH,0
2231,SDK,0
2232,SDL,0
2233,SDLC,0
2234,SDM,0
2235,SDN,0
2236,SDP,0
2237,SDS,0
2238,Search engines,0
2239,SEC,0
2240,Section 508,0
2241,Security,0
2242,Security architecture,0
2243,Security engineering,0
2244,Security policy,0
2245,Security QA,0
2246,SeeTest,0
2247,Selenium,0
2248,Selenium WebDriver,0
2249,Semantics,0
2250,Semiconductors,0
2251,Sencha,0
2252,Sendmail,0
2253,Senior management,0
2254,Sensors,0
2255,SEP,0
2256,Sequence diagrams,0
2257,SERDES,0
2258,Serena,0
2259,Serial communication,0
2260,Server administration,0
2261,Server architecture,0
2262,Server farms,0
2263,Server hardware,0
2264,Server Message Block,0
2265,Server virtualization,0
2266,Service assurance,0
2267,Service delivery,0
2268,Service delivery management,0
2269,Service design,0
2270,Service desk,1
2271,Service management,0
2272,Service operations,0
2273,ServiceNow,0
2274,Set-top box,0
2275,SFA,0
2276,SFTP,0
2277,sgml,0
2278,SGSN,0
2279,Shared services,0
2280,Shell,0
2281,Shell scripting,0
2282,Shipping,0
2283,Siebel,0
2284,Siebel administration,0
2285,Siebel CRM,0
2286,Siebel EAI,0
2287,Siebel EIM,0
2288,SIEM,0
2289,Siemens,0
2290,SIFT,0
2291,Signal integrity,0
2292,Signal processing,0
2293,SIGTRAN,0
2294,Sikuli,0
2295,Silk,0
2296,SilkTest,0
2297,SIM,0
2298,SIMS,0
2299,Simulation,0
2300,Simulink,0
2301,SIP,0
2302,SIT,0
2303,Sitecore,0
2304,Siteminder,0
2305,Six Sigma,0
2306,Six Sigma Black Belt,0
2307,Six Sigma Green Belt,0
2308,Sketch,0
2309,Skype,0
2310,SLA,0
2311,SLES,0
2312,Slowly changing dimensions,0
2313,Smart grid,0
2314,SmartDraw,0
2315,Smartphones,0
2316,Smarty,0
2317,SMB,0
2318,SMD,0
2319,SME,0
2320,SMP,0
2321,SMPP,0
2322,SMSC,0
2323,SMT,0
2324,Snagit,0
2325,SNC,0
2326,SNMP,0
2327,Snort,0
2328,SNOTE,0
2329,Snow flake schema,0
2330,SOA,0
2331,SOAP,0
2332,SoapUI,0
2333,Social networks,0
2334,Socket programming,0
2335,Sockets,0
2336,SODA,0
2337,Soft skills,0
2338,Software analysis,0
2339,Software architecture,0
2340,Software configuration,0
2341,Software deployment,0
2342,Software design,0
2343,Software development methodology,0
2344,Software distribution,0
2345,Software documentation,0
2346,Software engineering,0
2347,Software implementation,0
2348,Software installation,0
2349,Software packaging,0
2350,Software requirements specification,0
2351,Software security,0
2352,Soil mechanics,0
2353,Solaris,0
2354,Solaris administration,0
2355,SolarWinds,0
2356,Soldering,0
2357,SOLID,0
2358,Solid modeling,0
2359,SolidEdge,0
2360,SolidWorks,0
2361,SolMan,0
2362,Solution architecture,0
2363,Solution delivery,0
2364,Sonar,0
2365,Sonet,0
2366,SOP,0
2367,SOQL,0
2368,Sound design,0
2369,Sourcing,0
2370,Sourcing management,0
2371,SOW,0
2372,SPA,0
2373,SPAM,0
2374,Spanish,0
2375,Spanning Tree Protocol,0
2376,SPARC,0
2377,SPC,0
2378,Specification,0
2379,Specman,0
2380,Spectrum,0
2381,Spectrum analyzer,0
2382,Speech recognition,0
2383,SPI,0
2384,SPICE,0
2385,Splunk,0
2386,SPM,0
2387,SPRE,0
2388,Spring,0
2389,Spring Batch,0
2390,Spring MVC,0
2391,Spring Security,0
2392,Sprint,0
2393,SPSS,0
2394,SpyGlass,0
2395,SQL,0
2396,SQL Azure,0
2397,SQL tuning,0
2398,SQL*Loader,0
2399,SQLite,0
2400,SQLRPGLE,0
2401,Squish,0
2402,SR-IOV,0
2403,SRD,0
2404,SRM,0
2405,SRS,0
2406,SS7,0
2407,SSD,0
2408,SSI,0
2409,SSL,0
2410,SSL VPN,0
2411,SSO,0
2412,SST,0
2413,STA,0
2414,STAAD,0
2415,Staff augmentation,0
2416,Staff management,0
2417,Stakeholder communications,0
2418,Stakeholder management,0
2419,Standard operating procedure,0
2420,Star schema,0
2421,StarTeam,0
2422,Startups,0
2423,Stata,0
2424,Stateflow,0
2425,Static timing analysis,0
2426,STATISTICA,0
2427,Statistical models,0
2428,Statistical process control,0
2429,Statistical signal processing,0
2430,Status reports,0
2431,STB,0
2432,STE,0
2433,STL,0
2434,STLC,0
2435,Storage,1
2436,Storage architecture,0
2437,Storage management,0
2438,Storage virtualization,0
2439,Stored procedures,0
2440,Storyboard,0
2441,STP,0
2442,Strategic Analysis,0
2443,Strategic planning,0
2444,Strategic sourcing,0
2445,Strategic thinking,0
2446,Strategy,0
2447,Strategy development,0
2448,Stratus,0
2449,Streaming,0
2450,Stress analysis,0
2451,Stress testing,0
2452,struct,0
2453,Structural analysis,0
2454,Structural engineering,0
2455,Structural mechanics,0
2456,STS,0
2457,Subfiles,0
2458,Subject-matter expert,0
2459,Succession planning,0
2460,SunOS,0
2461,Supervision,0
2462,Supply chain management,0
2463,Supply chain planning,0
2464,Supply management,0
2465,Surveillance,0
2466,Survival analysis,0
2467,SUSE Linux,0
2468,SVA,0
2469,SVC,0
2470,SVG,0
2471,SVM,0
2472,SVN,0
2473,Swing,0
2474,Switchboard,0
2475,Switches,0
2476,SWT,0
2477,Sybase,0
2478,Sybase IQ,0
2479,Symantec,0
2480,Syncsort,0
2481,Synon,0
2482,Synopsys,0
2483,SysML,0
2484,System administration,0
2485,System Center,0
2486,System deployment,0
2487,System documentation,0
2488,System implementation,0
2489,System integration,0
2490,System integration testing,0
2491,System monitoring,0
2492,System requirements,0
2493,System security,0
2494,System testing,0
2495,SystemC,0
2496,Systems analysis,0
2497,Systems architecture,0
2498,Systems design,0
2499,Systems engineering,0
2500,Systems management,0
2501,Systems modeling,0
2502,SystemTap,0
2503,SystemVerilog,0
2504,Tableau,0
2505,Tablet,0
2506,TAC,0
2507,TACACS,0
2508,Talend,0
2509,TAM,0
2510,Tandem,0
2511,TAO,0
2512,Task analysis,0
2513,Taxes,0
2514,Taxonomy,0
2515,TBS,0
2516,Tcl,0
2517,TCM,0
2518,TCP,0
2519,TCP/IP,0
2520,tcpdump,0
2521,TDF,0
2522,TDM,0
2523,TDP,0
2524,Team building,1
2525,Team leadership,1
2526,Team management,1
2527,Teamcenter,0
2528,TeamCity,0
2529,TeamSite,0
2530,TeamTrack,0
2531,Teamwork,0
2532,Technical analysis,0
2533,Technical communication,0
2534,Technical director,0
2535,Technical support,0
2536,Technical training,0
2537,Technical writing,0
2538,Technician,1
2539,Technology integration,0
2540,Telco,0
2541,Telecommunications,0
2542,Telematics,0
2543,Telephony,0
2544,Telerik,0
2545,Telnet,0
2546,Teradata,0
2547,Terminal server,0
2548,Tersus,0
2549,Test-driven development,0
2550,Test cases,0
2551,Test equipment,1
2552,Test estimation,0
2553,Test execution,0
2554,Test management,0
2555,Test Manager,0
2556,Test methods,0
2557,Test plans,0
2558,Test scenarios,0
2559,Test scripts,0
2560,Test strategy,0
2561,Test suites,0
2562,TestComplete,0
2563,TestLink,0
2564,TestNG,0
2565,TestStand,0
2566,Texturing,0
2567,TGA,0
2568,Thermal analysis,0
2569,Thermal management,0
2570,Thermodynamics,0
2571,Thin client,0
2572,Thought leadership,0
2573,Thread,0
2574,ThreadX,0
2575,Threat modeling,0
2576,thyristor,0
2577,TIBCO,0
2578,TIBCO Adapters,0
2579,TIBCO BusinessEvents,0
2580,TIBCO BusinessWorks,0
2581,TIBCO Hawk,0
2582,TIBCO Spotfire,0
2583,Tier 1,0
2584,Tier 2,0
2585,Tier 3,0
2586,Time management,0
2587,Time series,0
2588,Timing closure,0
2589,Tivoli,0
2590,Tk,0
2591,TLM,0
2592,TLS,0
2593,TM,0
2594,TMS,0
2595,Toad,0
2596,TOGAF,0
2597,TOR,0
2598,TortoiseSVN,0
2599,TPM,0
2600,TPS,0
2601,TPT,0
2602,Trac,0
2603,Traceability matrix,0
2604,Trade shows management,0
2605,Training,0
2606,Training and development,0
2607,Transact-SQL,0
2608,Transformation,0
2609,Transformer,0
2610,Transition management,0
2611,Translation,0
2612,Transportation,0
2613,Trend analysis,0
2614,Troubleshooting,0
2615,TTCN,0
2616,Twilio,0
2617,Twitter,0
2618,TWS,0
2619,TypeScript,0
2620,Typography,0
2621,UART,0
2622,Ubuntu,0
2623,UC,0
2624,UCD,0
2625,UCM,0
2626,UCS,0
2627,UDP,0
2628,UEFI,0
2629,UFT,0
2630,UG,0
2631,UI,0
2632,UIKit,0
2633,ultraxml,0
2634,UML,0
2635,UMTS,0
2636,Underscore.js,0
2637,Unified communications,0
2638,Unigraphics NX,0
2639,Unit testing,0
2640,Unity,0
2641,Unix,0
2642,Upgrades,0
2643,UPS,0
2644,Usability,0
2645,Usability testing,0
2646,USB,0
2647,USD,0
2648,Use cases,0
2649,User-centered design,0
2650,User Administration,0
2651,User experience management,0
2652,User guides,0
2653,User research,0
2654,User stories,0
2655,Utilities,0
2656,UTRAN,0
2657,UVM,0
2658,UX,0
2659,UXD,0
2660,V-Model,0
2661,Vagrant,0
2662,Valgrind,0
2663,Valuation,0
2664,Value engineering,0
2665,VAS,0
2666,VAT,0
2667,VBA,0
2668,VBScript,0
2669,VC,0
2670,VCL,0
2671,VCP,0
2672,VCS,0
2673,VDSL,0
2674,Vendor development,0
2675,Verification and validation,0
2676,VeriFIX,0
2677,Verilog,0
2678,VersionOne,0
2679,Vertex,0
2680,Vertica,0
2681,VHDL,0
2682,VI,0
2683,Video,1
2684,Video editing,0
2685,Video production,0
2686,Video streaming,0
2687,Videoconferencing,0
2688,VIM,0
2689,VIO,0
2690,Virsa,0
2691,Virtual Machine Manager,0
2692,Virtual machines,0
2693,Virtual team,0
2694,VirtualBox,0
2695,Virtualization,0
2696,VISO,0
2697,Visual Basic,0
2698,Visual Basic .NET,0
2699,Visual C++,0
2700,Visualforce,0
2701,Visualization,0
2702,VLAN,0
2703,VLOOKUP,0
2704,VLSI,0
2705,VME,0
2706,VMM,0
2707,VMS,0
2708,VMware,0
2709,VMware Certified Professional,0
2710,VMware ESX,0
2711,VMware ESXi,0
2712,VMware vSphere,0
2713,VMware Workstation,0
2714,VoIP,0
2715,VPI,0
2716,VPN,0
2717,VRRP,0
2718,VSAM,0
2719,VSS,0
2720,VSTS,0
2721,VTP,0
2722,VTS,0
2723,Vulnerability assessment,0
2724,VxWorks,0
2725,W3C,0
2726,WAN,0
2727,WAN optimization,0
2728,WAR,0
2729,Warehouse,0
2730,Warehouse management,0
2731,Waterfall,0
2732,Watir,0
2733,WAVE,0
2734,WCAG,0
2735,WCF,0
2736,WCM,0
2737,WDM,0
2738,Web 2.0,0
2739,Web analytics,0
2740,Web API,0
2741,Web application security,0
2742,Web applications,0
2743,Web content,0
2744,Web content management,0
2745,Web design,0
2746,Web desktop,0
2747,Web development,0
2748,Web parts,0
2749,Web portals,0
2750,Web server,0
2751,Web server administration,0
2752,Web services,0
2753,Web standards,0
2754,Webforms,0
2755,WebGL,0
2756,webMethods,0
2757,WebSocket,0
2758,Weka,0
2759,Welding,0
2760,WF,0
2761,WHCK,0
2762,White-box testing,0
2763,Wiki,0
2764,WildFly,0
2765,WiMAX,0
2766,WINCVS,0
2767,WinDbg,0
2768,Windchill,0
2769,Windows API,0
2770,Windows Client,0
2771,Windows drivers,0
2772,Windows Forms,0
2773,Windows Installer,0
2774,Windows Services,0
2775,WINS,0
2776,wInsight,0
2777,Winsock,0
2778,wIntegrate,0
2779,Wintel,0
2780,WIP,0
2781,Wireframe,0
2782,Wireless,0
2783,Wireless network,0
2784,Wireless security,0
2785,Wireshark,0
2786,WISE,0
2787,WLAN,0
2788,WMS,0
2789,Wonderware,0
2790,WordPress,0
2791,Workflow,0
2792,Workflow management,0
2793,Workflow Manager,1
2794,WPF,0
2795,Wrike,0
2796,Writing,1
2797,WSDL,0
2798,WTL,0
2799,WTT,0
2800,WTX,0
2801,WWAN,0
2802,WWF,0
2803,x86,0
2804,XACML,0
2805,Xamarin,0
2806,XAML,0
2807,XAMPP,0
2808,Xcode,0
2809,XEN,0
2810,XenServer,0
2811,Xilinx,0
2812,XMetaL,0
2813,XML,0
2814,XMLSpy,0
2815,XMPP,0
2816,XPath,0
2817,XQuery,0
2818,XSD,0
2819,XSL,0
2820,XSLT,0
2821,Xtend,0
2822,Yii,0
2823,YouTube,0
2824,YUI,0
2825,Zabbix,0
2826,Zemax,0
2827,ZEN,0
2828,Zend,0
2829,Zenoss,0
2830,ZigBee,0
2831,Zuken,0
2832,C#,0
2833,C++,0
2834,.net,0
2835,C,0
